co_municipio;quantidade_alunos;probabilidade_risco_media;probabilidade_risco_mediana;probabilidade_risco_p90;taxa_alertas;taxa_nao_alfabetizado_real;falsos_negativos;taxa_falsos_negativos;co_uf;dependencia_predominante;atlas_idhm_median;atlas_idhm_e_median;atlas_renda_pc_median;atlas_indice_gini_median;atlas_prop_pobreza_criancas_median;atlas_taxa_criancas_dom_sem_fund_median;censo_prop_mat_2ano_internet_aprendizagem_median;censo_prop_mat_2ano_alimentacao_median;censo_prop_mat_2ano_biblioteca_sala_leitura_median;fundeb_receita_contribuicao_median;fundeb_complementacao_uniao_median;fundeb_receita_total_median;indicador_meta_final_2025_median;indicador_pc_aluno_alfabetizado_2024_median;taxa_alfabetizacao_real_pct;taxa_alfabetizacao_predita_prob_pct;taxa_alertas_pct;sg_uf;no_municipio;rotulo_municipio;percentil_risco_relativo;faixa_risco_relativo;meta_2025_pct;alfabetizacao_2024_pct;gap_previsto_meta_pp;situacao_meta
3170206;6132;0.45529798474819677;0.46713460854473043;0.46713460854473043;0.0;0.31327462491846053;1921;0.31327462491846053;31;3.0;0.789;0.716;1001.45;0.5;6.84;17.8;0.97924696116217;1.0;0.9716869255855322;504692895.51;0.0;504692895.51;60.41;62.63;68.67253750815394;54.470201525180315;0.0;MG;Uberlândia;Uberlândia - MG;0.4793388429752066;Moderado;60.41;62.63;-5.939798474819682;Risco elevado de não atingir
1303569;372;0.5675896659079775;0.5675896659079775;0.5675896659079775;1.0;0.5080645161290323;0;0.0;13;3.0;0.611;0.493;315.24;0.55;44.45;36.4;0.3903966597077244;1.0;0.3924843423799583;30183145.48;25256114.43;55439259.91;49.09;46.76;49.193548387096776;43.241033409202245;100.0;AM;Rio Preto da Eva;Rio Preto da Eva - AM;0.756198347107438;Alto;49.09;46.76;-5.848966590797758;Risco elevado de não atingir
3505302;205;0.40934785843857036;0.40934785843857036;0.40934785843857036;0.0;0.3073170731707317;63;0.3073170731707317;35;3.0;0.788;0.739;915.28;0.45;3.51;16.42;1.0;1.0;0.8289473684210527;17049784.96;0.0;17049784.96;64.91;80.01;69.26829268292683;59.065214156142964;0.0;SP;Barra Bonita;Barra Bonita - SP;0.3677685950413223;Baixo;64.91;80.01;-5.844785843857032;Risco elevado de não atingir
2401008;204;0.5544870823841996;0.558352610838214;0.558352610838214;1.0;0.4117647058823529;0;0.0;24;3.0;0.639;0.571;358.66;0.55;42.99;39.05;0.6605166051660517;1.0;0.5682656826568265;20946272.58;3148869.92;24095142.5;50.29;48.86;58.82352941176471;44.55129176158004;100.0;RN;Apodi;Apodi - RN;0.7210743801652892;Alto;50.29;48.86;-5.73870823841996;Risco elevado de não atingir
3113206;245;0.31358098181916605;0.3101914955281898;0.327138926983071;0.0;0.18775510204081633;46;0.18775510204081633;31;3.0;0.697;0.622;495.09;0.48;26.15;34.09;0.6356275303643725;1.0;0.8218623481781376;20621374.34;0.0;20621374.34;74.34;80.43;81.22448979591836;68.6419018180834;0.0;MG;Carandaí;Carandaí - MG;0.2024793388429752;Baixo;74.34;80.43;-5.698098181916606;Risco elevado de não atingir
2603801;214;0.45206708655024763;0.45206708655024763;0.45206708655024763;0.0;0.26635514018691586;57;0.26635514018691586;26;3.0;0.549;0.419;215.71;0.5;62.66;61.51;0.7725118483412322;1.0;0.8530805687203792;20116568.8;10842868.18;30959436.98;60.43;69.34;73.36448598130842;54.79329134497524;0.0;PE;Capoeiras;Capoeiras - PE;0.46487603305785125;Moderado;60.43;69.34;-5.636708655024762;Risco elevado de não atingir
3162955;351;0.37477026847493655;0.37477026847493655;0.37477026847493655;0.0;0.2849002849002849;100;0.2849002849002849;31;3.0;0.729;0.679;540.26;0.42;17.75;25.13;1.0;1.0;0.7343283582089553;29119510.62;1009948.54;30129459.16;68.1;75.09;71.50997150997152;62.522973152506346;0.0;MG;São José da Lapa;São José da Lapa - MG;0.29132231404958675;Baixo;68.1;75.09;-5.577026847493649;Risco elevado de não atingir
2701308;181;0.6354794520522653;0.6354794520522653;0.6354794520522653;1.0;0.36464088397790057;0;0.0;27;3.0;0.562;0.473;232.85;0.49;56.06;60.02;0.1423357664233576;1.0;0.083941605839416;25853359.21;13125144.73;38978503.94;41.98;33.4;63.53591160220995;36.45205479477347;100.0;AL;Cajueiro;Cajueiro - AL;0.8946280991735537;Alto;41.98;33.4;-5.52794520522653;Risco elevado de não atingir
1600600;1660;0.5144962175998377;0.5055686868416878;0.5381394583988939;1.0;0.286144578313253;0;0.0;16;3.0;0.692;0.638;469.24;0.55;34.48;22.02;0.6177951874650252;1.0;0.204252937884723;104325821.27;1434398.81;105760220.08;53.95;55.32;71.3855421686747;48.55037824001624;100.0;AP;Santana;Santana - AP;0.6136363636363636;Moderado;53.95;55.32;-5.399621759983766;Risco elevado de não atingir
1505205;483;0.7128770570441405;0.7128770570441405;0.7128770570441405;1.0;0.6459627329192547;0;0.0;15;3.0;0.507;0.344;181.86;0.56;67.49;64.78;0.1948640483383685;1.0;0.5981873111782477;44696101.52;43360267.46;88056368.98;34.05;31.03;35.40372670807454;28.71229429558595;100.0;PA;Oeiras do Pará;Oeiras do Pará - PA;0.9917355371900827;Alto;34.05;31.03;-5.337705704414049;Risco elevado de não atingir
3128006;328;0.4039274352180391;0.40535771272505705;0.40535771272505705;0.0;0.17378048780487804;57;0.17378048780487804;31;3.0;0.686;0.576;560.99;0.56;30.83;39.83;0.9518072289156626;1.0;0.963855421686747;17843702.57;234873.22;18078575.79;64.93;68.68;82.6219512195122;59.60725647819609;0.0;MG;Guanhães;Guanhães - MG;0.3450413223140496;Baixo;64.93;68.68;-5.322743521803915;Risco elevado de não atingir
