co_municipio;quantidade_alunos;probabilidade_risco_media;probabilidade_risco_mediana;probabilidade_risco_p90;taxa_alertas;taxa_nao_alfabetizado_real;falsos_negativos;taxa_falsos_negativos;co_uf;dependencia_predominante;atlas_idhm_median;atlas_idhm_e_median;atlas_renda_pc_median;atlas_indice_gini_median;atlas_prop_pobreza_criancas_median;atlas_taxa_criancas_dom_sem_fund_median;censo_prop_mat_2ano_internet_aprendizagem_median;censo_prop_mat_2ano_alimentacao_median;censo_prop_mat_2ano_biblioteca_sala_leitura_median;fundeb_receita_contribuicao_median;fundeb_complementacao_uniao_median;fundeb_receita_total_median;indicador_meta_final_2025_median;indicador_pc_aluno_alfabetizado_2024_median;taxa_alfabetizacao_real_pct;taxa_alfabetizacao_predita_prob_pct;taxa_alertas_pct;sg_uf;no_municipio;rotulo_municipio
3163201;41;0.24798742888648162;0.24798742888648162;0.24798742888648162;0.0;0.14634146341463414;6;0.14634146341463414;31;3.0;0.717;0.652;537.13;0.47;22.66;34.49;1.0;1.0;1.0;3246056.5;0.0;3246056.5;78.14;86.26;85.36585365853658;75.20125711135184;0.0;MG;São José do Alegre;São José do Alegre - MG
3163904;51;0.16690750659063636;0.16690750659063636;0.16690750659063636;0.0;0.11764705882352941;6;0.11764705882352941;31;3.0;0.674;0.539;549.49;0.45;22.15;43.23;1.0;1.0;0.7972972972972973;3957362.21;0.0;3957362.21;77.87;97.05;88.23529411764706;83.30924934093636;0.0;MG;São Pedro da União;São Pedro da União - MG
3165305;73;0.32281464970825713;0.32281464970825713;0.32281464970825713;0.0;0.0273972602739726;2;0.0273972602739726;31;3.0;0.715;0.644;527.55;0.53;37.43;28.82;1.0;1.0;1.0;4712491.25;0.0;4712491.25;66.57;81.64;97.26027397260275;67.71853502917429;0.0;MG;São Vicente de Minas;São Vicente de Minas - MG
3165404;63;0.37695798459886753;0.37695798459886753;0.37695798459886753;0.0;0.07936507936507936;5;0.07936507936507936;31;3.0;0.68;0.563;497.65;0.44;19.49;41.98;1.0;1.0;0.7391304347826086;5884751.96;65191.19;5949943.15;61.77;75.07000000000001;92.06349206349206;62.30420154011325;0.0;MG;Sapucaí-Mirim;Sapucaí-Mirim - MG
3165537;496;0.2778144011006646;0.2778144011006646;0.2778144011006646;0.0;0.21169354838709678;105;0.21169354838709678;31;3.0;0.734;0.643;648.26;0.46;10.41;20.26;0.5622489959839357;1.0;1.0;28673088.35;541757.28;29214845.63;80.0;82.39;78.83064516129032;72.21855988993354;0.0;MG;Sarzedo;Sarzedo - MG
3165552;106;0.421704041807136;0.4196538328950352;0.4196538328950352;0.0;0.3018867924528302;32;0.3018867924528302;31;2.0;0.542;0.4;224.63;0.55;64.61;62.47;0.4896551724137931;1.0;0.903448275862069;4852129.38;85573.07;4937702.45;58.89;60.0;69.81132075471699;57.829595819286396;0.0;MG;Setubinha;Setubinha - MG
3166501;32;0.3817872097247277;0.3817872097247277;0.3817872097247277;0.0;0.3125;10;0.3125;31;2.0;0.557;0.398;226.22;0.54;72.21;62.54;0.7321428571428571;1.0;0.625;2381891.82;56059.8;2437951.62;;;68.75;61.82127902752723;0.0;MG;Serra Azul de Minas;Serra Azul de Minas - MG
3166907;86;0.31066683001678386;0.31066683001678386;0.31066683001678386;0.0;0.13953488372093023;12;0.13953488372093023;31;3.0;0.677;0.569;470.34;0.44;23.17;38.77;1.0;1.0;1.0;5359925.09;0.0;5359925.09;69.02;80.88;86.04651162790698;68.93331699832162;0.0;MG;Serrania;Serrania - MG
3168408;128;0.3281900679830059;0.3323098371715705;0.3323098371715705;0.0;0.265625;34;0.265625;31;2.0;0.633;0.499;364.41;0.47;35.78;48.19;0.9393939393939394;1.0;0.9090909090909092;4461466.74;0.0;4461466.74;73.13;77.47;73.4375;67.18099320169941;0.0;MG;Tarumirim;Tarumirim - MG
3168804;68;0.42568307547104056;0.42568307547104056;0.42568307547104056;0.0;0.29411764705882354;20;0.29411764705882354;31;3.0;0.74;0.619;802.39;0.57;13.19;35.08;0.0;1.0;0.9240506329113924;5182846.41;88115.99;5270962.4;68.0;68.34;70.58823529411764;57.431692452895945;0.0;MG;Tiradentes;Tiradentes - MG
3170206;6132;0.45529798474819677;0.46713460854473043;0.46713460854473043;0.0;0.31327462491846053;1921;0.31327462491846053;31;3.0;0.789;0.716;1001.45;0.5;6.84;17.8;0.97924696116217;1.0;0.9716869255855322;504692895.51;0.0;504692895.51;60.41;62.63;68.67253750815394;54.470201525180315;0.0;MG;Uberlândia;Uberlândia - MG
3170404;958;0.49792859526079514;0.48338716477542665;0.5134750490194504;0.48329853862212946;0.302713987473904;138;0.1440501043841336;31;2.0;0.736;0.651;720.51;0.54;18.35;27.92;0.6265060240963856;1.0;0.9855421686746988;51941087.3;0.0;51941087.3;64.12;59.06;69.72860125260961;50.20714047392049;48.32985386221294;MG;Unaí;Unaí - MG
